category,district,culutename,cultureaddress,organizationname,targetaudience,fee,description,thumbnailimage,startdate,enddate,isfree,portalurl
클래식,강남구,[마포문화재단] 제10회 M 클래식 축제 로맨틱 리사이틀 #1. [테너 김민석],마포아트센터 아트홀맥,마포문화재단, 8세이상 관람가능(미취학아동입장불가),"R석 30,000원, S석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=462d2e94a28b4c029a2fd251149e8eb0&thumb=Y,2025. 10. 29,2025. 10. 29,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154303&menuNo=200008
클래식,강남구,[마포문화재단] 제10회 M 클래식 축제 [가곡 스페셜 Ⅱ],마포아트센터 광장,마포문화재단,누구나,무료관람,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=28cd7ca77bb64cb290f117ab9c4a2070&thumb=Y,2025. 10. 25,2025. 10. 25,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154786&menuNo=200008
클래식,강남구,[마포문화재단] 제10회 M 클래식 축제 마포 스타 콘서트 #1. [두 남자 이야기],마포아트센터 아트홀맥,마포문화재단, 8세이상 관람가능(미취학아동입장불가),"전석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1a1ecb62b634463bb89e85b63cbd1d20&thumb=Y,2025. 10. 22,2025. 10. 22,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154170&menuNo=200008
축제-문화/예술,강남구,2025 금천하모니축제,"금천구청광장, 안양천다목적광장, 금천구 전역",금천문화재단,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=520ec510b1db4ca6976e8f87402fd6d1&thumb=Y,2025. 10. 18,2025. 10. 19,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152953&menuNo=200010
클래식,강남구,[마포문화재단] 제10회 M 클래식 축제 시네마 콘서트,마포아트센터 아트홀맥,마포문화재단, 8세이상 관람가능(미취학아동입장불가),"R석 30,000원, S석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7349262f12f64bd3be06f8330eb014fd&thumb=Y,2025. 10. 18,2025. 10. 18,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154169&menuNo=200008
교육/체험,강남구,[한성백제박물관] 2025 초등단체 비대면 [한성부터 서울까지](서울역사박물관 공동교육),학급 교실 (실시간 원격 화상 수업),한성백제박물관,초등학교 4~6학년 학급 단체,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b4927576c9194903b6de9f26e939c3a7&thumb=Y,2025. 10. 16,2025. 10. 31,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154302&menuNo=200011
클래식,강남구,[영등포문화재단] 낮을 그리는 클래식 마티네콘서트 #4.이중섭,영등포아트홀,영등포문화재단,초등학생(2018년 생) 이상,"전석 15,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=02ca1c83aea649398ccdc945e4d8eef3&thumb=Y,2025. 10. 16,2025. 10. 16,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153969&menuNo=200008
축제-기타,강남구,서울 시청에서 같이 걷자! [2025 함께 걸어요 My5K],"서울시청, 숭례문, 서울역, 효창운동장",기타,남녀노소 누구나 참여가능,참가비(기부금) 3만원. (100% 전액 소외된 이웃에게 기부됩니다.),사랑으로 함께 걸으며 변화를 통해 기적을 만드는 ,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cdc2dc4c744f4162b3881aef9e0949d5&thumb=Y,2025. 10. 9,2025. 10. 9,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154795&menuNo=200010
축제-문화/예술,강남구,2025 서울라이트 한강 빛섬축제,뚝섬 한강공원,서울시청,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b13d2032bec441088ab18e1f0164eaa6&thumb=Y,2025. 10. 3,2025. 10. 12,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153245&menuNo=200010
클래식,강남구,[마포문화재단] 제10회 M 클래식 축제 바로크 특집 #2. [음악의 헌정],마포아트센터 플레이맥,마포문화재단, 8세이상 관람가능(미취학아동입장불가),"전석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2acd75becc814de7821cec9d5d1da5dc&thumb=Y,2025. 10. 2,2025. 10. 2,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154168&menuNo=200008
클래식,강남구,[세종문화회관] 9월 누구나 클래식 [이승국의 해설 클래식 - 영화와 클래식],세종대극장,세종문화회관,2018년 이전 출생자,"관람료 선택제 1,000원 3,000원 5,000원 10,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=957d9f4aeb3f4edba8d8c98ce8745e6f&thumb=Y,2025. 9. 29,2025. 9. 30,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154802&menuNo=200008
축제-문화/예술,강남구,[서울시립과학관] 2025 메이커 페어 서울,서울시립과학관 야외광장,서울시립과학관,누구나,,"상상을 현실로 만드는 즐거움 메이킹 축제 메이커들의 작품 전시, 체험, 교육 ",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4160da6753954dba81d7026f8e5b4c4c&thumb=Y,2025. 9. 27,2025. 9. 28,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153776&menuNo=200010
콘서트,강남구,[꿈의숲아트센터] 2025 꿈의숲 밴드 콘서트 : 잭킹콩&다섯,꿈의숲아트센터 퍼포먼스홀,북서울꿈의숲,만 7세 이상 관람가능,"전석 66,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1294d89d11fb47c59a9c27ab95d1149e&thumb=Y,2025. 9. 27,2025. 9. 27,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154601&menuNo=200008
무용,강남구,[마포문화재단] 2025 M 댄스 페스티벌 [리듬을 걷는 자들 (Walking on the SWING)],마포아트센터 플레이맥,마포문화재단,8세이상 관람가능(미취학아동입장불가),"전석 30,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f91a8eeb01ac405b9b2e5ddb439f1cf4&thumb=Y,2025. 9. 27,2025. 9. 27,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154764&menuNo=200008
축제-문화/예술,강남구,홍콩위크 2025@서울,"예술의전당, 국립극장, 롯데콘서트홀, 국립국악원, 아르코예술극장, 강동아트센터 등",기타,누구나,프로그램마다 상이 (홈페이지 확인),,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=32bbb7867ceb45dc93a7e146f4e7fa55&thumb=Y,2025. 9. 26,2025. 10. 25,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154626&menuNo=200010
무용,강남구,[종로아이들극장] 2025 어린이 발레극 [잠자는 숲속의 미녀],종로 아이들극장,종로문화재단,36개월 이상(권장 연령 만 5세 이상),"전석 30,000원","차이코프스키의 음악과 아름다운 춤, KBS 송연희 성우의 섬세한 해설, 그리고 아이들이 좋아하는 동물 캐릭터가 함께 어우러집니다. 아이들의 시선에 맞춘 스토리텔링으로, 처음 만나는 발레가 더욱 특별한 경험으로 다가옵니다. 다가오는 가을, 가족과 함께 동화 속 발레 공연 속으로 여러분을 초대합니다.",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=365d9ea79f3e4b7187cc286a824ee6e5&thumb=Y,2025. 9. 26,2025. 9. 27,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154714&menuNo=200008
클래식,강남구,[마포문화재단] 제10회 M 클래식 축제 바로크 특집 #1. [바흐 스페셜],마포아트센터 아트홀맥,마포문화재단, 8세이상 관람가능(미취학아동입장불가),"R석 30,000원, S석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5a6e288d56e84380a5cff499d3e863de&thumb=Y,2025. 9. 26,2025. 9. 26,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154165&menuNo=200008
콘서트,강남구,[동대문문화재단] 기획공연 [와인et멜로디(9월)] Vol.4 난아진,선농단역사문화관 지하3층 문화중정,동대문문화재단,만19세 이상,"30,000원(구민 15,000원)",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c3dd6f603bd44936b7f596ba482792ef&thumb=Y,2025. 9. 26,2025. 9. 26,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153684&menuNo=200008
교육/체험,강남구,[한성백제박물관] 2025 하반기 초등단체 원격 교육 [서울 쏙! 백제 콕!],각 학급 교실,한성백제박물관,초등 4~6학년 단체,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=55529070a98848a18faa2f3676a4f45d&thumb=Y,2025. 9. 25,2025. 12. 19,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154622&menuNo=200011
축제-기타,강남구,2025 대한민국 농업박람회,양재 aT센터 제1?2전시장,기타,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=61768637ded8405aa0a5c50117e98589&thumb=Y,2025. 9. 25,2025. 9. 28,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154580&menuNo=200010
클래식,강남구,[마포문화재단] 제10회 M 클래식 축제 심포니 시리즈 #2. [드보르작&슈베르트],마포아트센터 아트홀맥,마포문화재단,8세이상 관람가능(미취학아동입장불가),"R석 30,000원, S석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e74b8f9e60d34a42861ce6b1058f3cd0&thumb=Y,2025. 9. 25,2025. 9. 25,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154164&menuNo=200008
교육/체험,강남구,[세종예술아카데미] 클래식 브런치,세종문화회관 세종예술아카데미 서클홀,세종문화회관,누구나,30만원,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=eb800d87ca2e4196875e8ace5959ff6d&thumb=Y,2025. 9. 24,2025. 12. 3,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154793&menuNo=200011
클래식,강남구,[마포문화재단] 제10회 M 클래식 축제 심포니 시리즈 #1. [베토벤 No.5],마포아트센터 아트홀맥,마포문화재단, 8세이상 관람가능(미취학아동입장불가),"R석 30,000원, S석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c5741bc53c8b4bb7abab49c5225b81b7&thumb=Y,2025. 9. 24,2025. 9. 24,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154140&menuNo=200008
무용,강남구,[금천문화재단] 금나래아트홀 복합공연 [수리수리마하수리],금나래아트홀,금천문화재단,48개월 이상,"20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3b05cd11ccfe48d6964428579ae5e082&thumb=Y,2025. 9. 20,2025. 9. 20,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154745&menuNo=200008
축제-문화/예술,강남구,[광진문화재단] 제4회 2025 나루 스트릿 댄스 페스티벌,나루아트센터 야외광장,광진문화재단,전체관람,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a3ab97a289ab44eba250ef33e4314175&thumb=Y,2025. 9. 20,2025. 9. 20,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152983&menuNo=200010
연극,강남구,[구로문화재단] 연극 [감찰관],구로아트밸리 예술극장,구로문화재단,12세 이상 관람가,"전석 20,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ef00da614d3443329c967bfcad09cdd5&thumb=Y,2025. 9. 19,2025. 9. 21,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154500&menuNo=200008
독주/독창회,강남구,비올리스트 강동엽 보웬 전곡 시리즈 I [The English Rachmaninoff],금호아트홀 연세,기타,초등학생 이상 관람가,"전석 30,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7f1e1bd914004444b9f28c4c526eea16&thumb=Y,2025. 9. 19,2025. 9. 19,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154565&menuNo=200008
교육/체험,강남구,[세종문화회관] 뮤지컬의 탄생 : 21세기 웨스트앤드 뮤지컬 ,세종문화회관 서클홀,세종문화회관,누구나,"30,000원",뮤지컬의 역사와 함께 다양한 뮤지컬을 보다 쉽게 접할 수 있는 강좌입니다 ,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d65bed2e52b243a1babc2f663d2771bc&thumb=Y,2025. 9. 18,2025. 11. 27,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154685&menuNo=200011
교육/체험,강남구,[노원문화재단] 노원어린이극장 예술교육프로그램 [2025 방과후 공연놀이터],노원어린이극장,노원문화재단,초등학생 이상,"전석 6,000원(12주 패키지 40,000원)",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7c0f3ce87d544a3396d9ddd557e71f0f&thumb=Y,2025. 9. 17,2025. 12. 10,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154715&menuNo=200011
교육/체험,강남구,[세종예술아카데미] 어반드로잉(심화),세종문화회관 세종예술아카데미 스퀘어홀,세종문화회관,성인,45만원(강의 및 드로잉패키지 포함),,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a500ec8c5f4545c79d44862de11bbdf3&thumb=Y,2025. 9. 17,2025. 11. 16,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154792&menuNo=200011
전시/미술,강남구,세계우표전시회 필라코리아2025,코엑스마곡 전시장,기타,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=44a576c038f14cd5bb1f7ee838e737c7&thumb=Y,2025. 9. 17,2025. 9. 21,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152727&menuNo=200009
교육/체험,강남구,[세종문화회관] 뮤지컬 보컬 스테이션,세종문화회관 서클홀,세종문화회관,성인,"400,000원","실제 무대와 비슷한 환경에서 고급 강사진과 소통하며, 직접 뮤지컬 넘버를 불러보는 강좌 입니다  ~9.5일까지 20% 얼리버드 할인으로 가장 저렴한 가격에 만나보실 수 있습니다",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5fcd85594ac846fd82e131cdace5e9d5&thumb=Y,2025. 9. 16,2025. 11. 25,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154684&menuNo=200011
교육/체험,강남구,[용두어린이영어도서관] 영어 전용 스위치부터 켜라 : 통역하는 엄마 최서윤 작가와의 만남,지하 1층 교육장,동대문문화재단,성인,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c3d8c9c0f41446b0872aef5a315cf653&thumb=Y,2025. 9. 16,2025. 9. 16,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154581&menuNo=200011
클래식,강남구,피아니스트 김기경의 [PIANO FANTASIA],서울숲 스튜디오301,서울시립교향악단,"성인, 청소년, 예술인패스","성인 30,000원 / 청소년 25,000원 / 예술인패스 소지자 25,000원","공연소개 하프를 닮은 쇼팽의 선율로 문을 열고, 클래식부터 영화음악, 그리고 순간의 감정을 담은 즉흥 연주까지. 오늘 저녁, 어떤 음악이 나올지는 아무도 몰라요! 피아니스트 김기경이 준비한 피아노 오마카세, 당신만을 위한 환상의 플레이리스트가 펼쳐집니다.",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8a555ae4ee094f87911daf99c97a9efe&thumb=Y,2025. 9. 13,2025. 10. 25,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154742&menuNo=200008
축제-문화/예술,강남구,[문학주간 2025] 도움?닿기,대학로 마로니에 공원 일대,기타,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=38938c472df2491d953f26336bb4c346&thumb=Y,2025. 9. 13,2025. 9. 19,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154563&menuNo=200010
클래식,강남구,[세종문화회관] 2025 꿈나무 토요음악회 - 맛있는 클래식,세종문화회관 세종체임버홀,세종문화회관,5세이상 누구나,"전석 30,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9fade2bdc52b413782c78cb1b87becb6&thumb=Y,2025. 9. 13,2025. 9. 13,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154348&menuNo=200008
축제-문화/예술,강남구,2025 파리공원 문화축제,파리공원 일대,양천구청,누구나,체험프로그램 일부 유료,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=83bfbe65d9c741fa88f49cb19cffff8c&thumb=Y,2025. 9. 13,2025. 9. 13,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154778&menuNo=200010
축제-문화/예술,강남구,제17회 서울국제건축영화제,"아트하우스 모모(오프라인), 네이버TV(온라인)",기타,남녀노소 누구나,"7,000원(오프라인), 무료(온라인)","영화 상영, 관객과의 대화, 호스트 아키텍트 포럼, 부대행사 등",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0318f563a22443cfa1d505e53f1133d0&thumb=Y,2025. 9. 12,2025. 9. 25,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154660&menuNo=200010
축제-문화/예술,강남구,2025 신촌글로벌대학문화축제,"신촌지역 일대(연세로, 스타광장, 창천문화공원, 명물거리 등)",서대문구청,누구나,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=12381147ab034bc297d7fa5df3f75d8b&thumb=Y,2025. 9. 12,2025. 9. 14,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154772&menuNo=200010
교육/체험,강남구,[한성백제박물관] 2025 하반기 초등단체 현장 교육 [서울 쏙! 백제 콕!],박물관 교육실,한성백제박물관,초등 4~6학년 단체,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d55d7027ec08438c92b17514606d5712&thumb=Y,2025. 9. 11,2025. 12. 19,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154735&menuNo=200011
교육/체험,강남구,[서울역사박물관] 2025년 하반기 [교실 밖 역사탐험],학급 교실(실시간 원격 화상 수업),서울역사박물관,서울시 내 초등학교 4~6학년 학급 단체,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d093fc8c2b6c4c399b30b283bf00a467&thumb=Y,2025. 9. 11,2025. 10. 31,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154297&menuNo=200011
교육/체험,강남구,"[마포구립서강도서관] 9월/다문화 문화지원사업 [그 너머의 문화, 아프리카]",마포구립서강도서관 3층 세미나실,마포구청,일반 30명,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2d587d7d53cd48dd91f599362e242d7d&thumb=Y,2025. 9. 10,2025. 10. 1,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154632&menuNo=200011
축제-문화/예술,강남구,제28회 서울세계무용축제(SIDance2025),"서울남산국악당, 은평문화예술회관, 대학로예술극장 대극장, 청년예술청 등",기타,"누구나(일부 공연 15세, 16세, 19세 이상)",공연별 상이,"유네스코 국제무용협회(CID-UNESCO) 한국본부가 주최하는 제28회 서울세계무용축제(SIDance2025, 시댄스2025, 예술감독 이종호)가 9월 10일(수)부터 28일(일)까지 서울시내 주요 공연장에서 개최된다. 올해는 한국 포함 13개국이 참가, 18건, 25회의 공연을 통해 38편의 작품을 선보인다. ▲‘광란의 유턴’ 특집 ▲국제합작 ▲해외초청 ▲국내초청 ▲기획제작 등 다채로운 라인업을 펼쳐보일 예정이다.",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=769c388f21d64cd59869cf15d66b54a8&thumb=Y,2025. 9. 10,2025. 9. 28,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154707&menuNo=200010
영화,강남구,제13회 서울국제어린이영화제,"롯데시네마 은평, 은평문화예술회관 숲속극장",기타,누구나,"주중/주말 영화 관람료 7,000원, 무료 프로그램 및 야외상영 별도 운영",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e0012033a7bf42e9afacca848016b3a0&thumb=Y,2025. 9. 10,2025. 9. 17,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154658&menuNo=200013
교육/체험,강남구,2025 UX 디렉터 세미나 경험의 진화: AI와 UX의 미래를 디자인하다,포스코타워역삼 이벤트홀(3F),기타,누구나,"150,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c56ae3aa69e9422294a839d2a1b07b90&thumb=Y,2025. 9. 10,2025. 9. 10,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154645&menuNo=200011
클래식,강남구,첼리스타 첼로 앙상블 정기 연주회 : CINEMA,예술의전당 콘서트홀,기타,초등학생 이상,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3adcb1397c27469587aecc3c48302f80&thumb=Y,2025. 9. 7,2025. 9. 7,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154347&menuNo=200008
교육/체험,강남구,[서울역사박물관] 2025년 하반기 [우리 가족 경희궁 탐험대],"서울역사박물관, 경희궁 일대",서울역사박물관,초등학교 자녀를 동반한 가족,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fa72fde5e4864a35bf820ed722a3d9ab&thumb=Y,2025. 9. 6,2025. 11. 15,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154740&menuNo=200011
교육/체험,강남구,[동대문문화재단] 제기동감초마을 현진건기념도서관 [토론하며 만나는 고전소설 쏙! 역사 쏙!],5층 프로그램실,동대문문화재단,초등 4~6학년,"교재비 10,000원",,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ad3333a068b843fcad10c748ead86635&thumb=Y,2025. 9. 6,2025. 9. 30,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154579&menuNo=200011
교육/체험,강남구,[동대문문화재단] 장안어린이도서관 [그림책으로 즐기다],장안어린이도서관 3층 강의실,동대문문화재단,프로그램별 상이,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=11566d1f94ec444c8e7fbbb4ed9df19b&thumb=Y,2025. 9. 6,2025. 9. 27,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=154578&menuNo=200011
